Serial number,Urdu word,Roman Urdu Words,English meaning of the word
524,کرو,kuruu,"Kuru, a legendary king in the Mahabharata who is the progenitor of the Kauravas"
525,آخر,aaKHroT,walnut
526,آتے,aate,"happened, occurred, taken place, befalled, befallen, happened, occurred, taken place, befalled, befallen"
527,افغانستان,afghanistan,Afghanistan
528,اہمیت,ahmiyyat,"importance, significance"
529,ایس,aise,like these
530,لکھتے,lekhte,"to write, to pen, to jot down, to note down, to record, to document, to log, to register, to note, to log, to register"
531,ماہ,maah,beloved person
532,قدر,qadr,"whatever is fixed or ordained of God, divine providence, fate, destiny"
533,ئ,ye,"ye with hamza, see ء."
534,پورے,puure,"absolute, entire, all, whole"
535,اجازت,ijaazat,"permission, sanction, authority, liberty, leave"
536,سفر,safar,"journeying, travelling, journey, travel, voyage, expedition, trip, tour"
537,ماں,maa.n,"mother, mummy"
538,حقوق,huquuq,"rights, dues, laws, privileges"
539,برس,baras,"an year, a span of twelve months"
540,صوبہ,suuba,"subah, sooba, province"
541,پانچ,paa.nch,five
542,سعودی,saudī,"Saudi, Saudi Arabian"
543,آزادی,siyaasii-aazaadii,"freedom, independence"
544,بھارتی,bhaartii,"Indian, habitants of India"
545,لحاظ,lihaaz,"observing attentively, attentive observation, attention, notice"
546,ہدایت,hidaayat,"leading one into the right way (in a literal or religious sense),"
547,ہلکی,halkii,"light (in weight, or in character, or in colour)"
548,شادی,shaadii,"marriage, wedding, happiness, delight, pleasure, joy"
549,حالت,haalat,"state, condition, position of one's affairs, circumstance, the present time,"
550,انتہائی,intihāī,"extreme, utmost, excessive"
551,ہلاک,halaak,"destruction, slaughter, death, destroyed, killed, tired, weary"
552,حل,hal,"fulfilment (of a purpose) solution, the way out (of difficulties), unravelling (of a knotty problem), resolution (of a difficulty), untying, loosing"
553,اسمبلی,markazii-assembly,central assembly
554,رکھ,rakh,"(transitive verb) verbal noun of 'rakhnaa' to put, place, keep, lay by, possess, own, hold, have, save, preserve, reserve, put aside, employ"
555,درج,darj,"(in a register or a book) entry, insertion"
556,واپس,vaapas,"returned, gone back, behind, back, returning, again, afterwards, then"
557,اعلیٰ,aa'laa,"highest, greatest, uppermost, high, great, superior"
558,خاندان,KHaandaan,"household, house"
559,سندھ,sindh,"name of a Pakistan's province, the land along the river Indus, the river Indus"
560,اداروں,adaaro,"to set up, to establish, to erect, to build, to construct, to set up, to establish, to erect, to build, to construct"
561,علمی,'ilmii,"scientific, literary, doctrinal, theoretical, academic, scholarly"
562,سابق,saabiq,"going or gone before, preceding, foregoing, former, prior, past, ancient, bygone"
563,عربی,'arabii,"Arabian, Arabic"
564,لیگ,leg-stump,leg-stump
565,اضافہ,izaafa,"addition, annexation, increment, adjunct, accretion"
566,چھوڑ,chho.D,leave
567,مثلاً,maslan,"for example, for instance, e.g"
568,بھائی,bhāī,brother (a male sibling of any age)
569,روایات,rivaayaat,traditions
570,ترجمہ,tarjama,"translation, version, rendering, rendition"
571,لیتے,lete,"to let, to allow, to permit, to grant, to grant permission"
572,ہمارا,hamaaraa,"my, mine"
573,جانا,jaanaa,"be deprived of (a thing or person), be stolen, be lost, be wasted, be ruined, go, pass, reach, set out, depart, pass away, know, understand, trust, believe"
574,نا,naa,"no, never, in no case"
575,پورا,puuraa,"full, whole, entire, complete, uncut, accomplished, undivided"
576,مشکل,mushkil,"difficult, hard, painful"
577,موضوع,mauzuu',"object, subject (of speech), topic"
578,پہنچ,pahu.nch,"access, entrance, admittance"
579,احکام,ahkaam,"orders, commands, decrees, ordinances, Fatwa, royal edicts, judgments"
580,رہےتھے,rahethe,"happened, occurred, taken place, befalled, befallen, happened, occurred, taken place, befalled, befallen"
581,رہیں,raheen,"happened, occurred, taken place, befalled, befallen, happened, occurred, taken place, befalled, befallen"
582,انکار,inkaar,"refusal, denial, abnegation, disapproval, disallowance, objection, rejection"
583,فیصد,fiisad,"percent, percentage"
584,راہ,raah,"custom, fashion, manner, progress, way, road, passage, path, means of access"
585,جمع,jam',"whole, total, all"
586,ڈی,Denaa,a log tied to the neck of a vicious ox or cow
587,معاملات,mu'aamalaat,"business, commerce, traffic, domains"
588,جسم,jism,"body, material substance, something that has breadth and width"
589,گردی,gardii,wandering or travelling
590,فرق,farq,"difference, distinction, different"
591,واقعات,vaaqi'aat,"events, occurrences, incidents"
592,غامدی,gāmde,gāmde
593,خوش,KHush,"agreeable, acceptable, affable, amiable, content, willing"
594,ضرور,zaruur,"absolutely, certainly, necessary, needful, surely, definitely, of course"
595,کردہ,karda,"done, made, executed, effected"
596,مقابلے,muqaable,contest
597,اثر,asar,"effect, influence, impression, consequence, sign, footprint, sign, mark, token, trace, track, vestige, shadow, impress"
598,رپورٹ,rpwrtt,Report
599,واقعہ,vaaqi'a,"event, incident"
600,لگے,lage,"attached, joined, connected"
602,چونکہ,chuu.nki,"as, since, because"
603,رکھتا,rkhta,keep
604,موقف,mauqif,terminus
605,قول,qaul,a style of singing introduced by Amir Khusro
606,پہلو,pahluu,"side, flank, wing"
607,دینی,diinii,"religious, pious, spiritual"
608,لاکھ,laakh,"lac, one hundred thousand, lakh, a dark red resin produced by red insects on trees, used for sealing documents, sealing wax, a large number, heaps, a great many"
609,سورۂ,suura,a chapter of the Holy Quran (of which there are 114)
610,طالبان,taalibaan,"seekers, desirers"
611,تنقید,tanqiid,"criticism, the criticism based on references, fault-finding, critical review, appraisal, judgement"
612,حملے,hamle,"inflection of حَمْلَہ (hamla, “attack; invasion; assault”):, direct plural"
613,توجہ,tavajjoh,spiritual concentration on something or someone
614,مطلب,matlab,"sense, meaning"
615,رنگ,rang,"colour, paint, pigment hue, dye"
616,فراہم,faraaham,"gathered, collected, accumulated"
617,السلام,assalaam,"salutation, may peace be upon you, the Source of Peace"
618,یقین,yaqiin,"belief, faith, certainty, assurance, confidence, trust, positiveness"
619,اوپر,uupar,"above, high, atop, up, on, at, more, in addition to, outside, on the outer portion"
620,بڑھ,ba.Dh,increase
621,گئیں,gy'in,Gone
622,ذات,zaat,"(Hinduism) a hereditary social class among Hindus, stratified according to ritual purity, any group of things that have generic characteristics in common, any one of the four Hindu castes"
623,دلیل,daliil,"argument, reason, evidence, proof"
624,کافی,kaafii,"sufficient, adequate, enough"
625,عہد,'ahd,"time, season, epoch, age"
626,مفہوم,mafhuum,"(lexical) understood, apprehended, comprehended, known, perceived"
627,خون,KHuun,"killing, slaughter, murder"
628,سمجھتے,smjhtye,understand
629,از,az,"from, then, by"
630,عبادت,'ibaadat,"devotion, adoration"
631,غور,Gaur,"consideration, deliberation, meditation, thought, deep thought"
632,تقسیم,taqsiim,"dividing, distributing, sharing"
633,مذکورہ,mazkuura,"remembered, aforesaid, above-mentioned"
634,احساس,ehsaas,"(Philosophy) sense, sensibility"
635,دیتی,diti,would give
636,سرکاری,sarkaarii,"governmental, official, relating or belonging to or issued by the state or government or its functionary"
637,حملہ,hamla,"attack, invasion, charge, aggression"
639,داخل,daaKHil,"entering, penetrating"
640,رہنے,rahne,"stay, remain, stop, be, continue to live, reside"
641,نقل,naqal,cheating (esp. in examination)
642,شدید,shadiid,"plenty, abundant"
643,سبب,sabab,"cause, reason, ground, means, string, cord, rope"
644,عملی,'amalii,based on action
645,کامیاب,kaamyaab,someone who is found his goal and and achieve his aim
646,اقتدار,iqtidaar,"authority, power, might, ability, excellence, dignity, rank"
647,زمانے,zamaane,time/ age
648,سوچ,soch,meditation
649,نتیجہ,natiija,"conclusion, effect, moral (of a story)"
650,تسلیم,tasliim,"saluting most respectfully, obeisance, greeting, welcome, homage, compliment, touching the ground with the fingers and then making salaam"
651,اتنا,itnaa,"this much, so much, so many"
652,ملاقات,mulaaqaat,"meeting, encountering"
653,رہتے,rahte,"in the presence of, while he/she was present"
654,شاعری,shaa'irii,"the art of poetry, poetry, verse, poetic composition"
655,عظیم,'aziim,"high in dignity, large, great, grand, of great account or estimation"
656,صحت,sehat,"health, soundness of body"
657,آواز,aavaaz,voice
658,انتخابات,intiKHaabaat,election
659,الدین,muhii-uddiin,reviver of faith
660,طریقے,tariiqe-kaa,of good disposition or habits
661,ابو,abbuu,"father, papa, dad"
662,ہندوستان,hindostaan,"India, Bharat"
663,منظر,manzar,"an object of sight, a sight, a view"
664,آپریشن,operation,operation
665,مرتبہ,murattaba,"edited, compiled, arranged"
666,قیام,qiyaam,standing upright
667,تبدیلی,tabdiilii,"alteration, changing"
668,اتنی,itnii,"as much as, this many, this much"
669,مغربی,maGribii,"of the west, western"
670,عقل,'aql,"knowledge, opinion"
671,پیچھے,piichhe,"ago, at some time in the past, formerly, backside, behind, rear, subsequently, in consequence of, for the sake of, on account of, due to, after, in the rear, astern, afterwards, in the absence of,after the death of"
672,ساری,saarii-'umr,whole life
673,اکثر,aksar,"frequent, very much, great many, most, most frequently, usually, often, generally"
674,تحریر,tahriir,writing
675,محفوظ,mahfuuz,"secure, immune"
676,تا,taayaa,father's elder brother
677,کمی,kamii,"deficiency, deficit, shortfall, decrease, paucity"
678,عورتوں,'aurato.n,women
679,دوست,dost,"friend, pal, well-wisher"
680,اگرچہ,agarche,"although, though, even if, granted that"
681,کئے,,did
682,مخصوص,maKHsuus,"distinguished, particularized, particular, peculiar, special, proper, specific"
683,چین,chain,"comfort, ease, relief, rest, repose, quiet, calm, peace, tranquillity"
684,سخت,saKHt,"hard, firm, solid, difficult, harsh, severe, staunch, very loyal and committed, not lenient, strict, rigid, strong, tight, very, much"
685,قیادت,qiyaadat,"leadership, guidance"
686,باتیں,baate.n,"Affair, Gossip, Matter, News"
687,پابندی,paabandii,"ban, restriction, condition, control, restraint"
688,علامہ,'allaama,"very wise or learned (honorific title bestowed on some learned person or erudite scholar), very learned person"
689,زائد,zay'd,plus
690,دعوت,daa'vat,"invitation, invitation to a repast or feast"
691,فطرت,fitrat,nature
692,اجلاس,ijlaas,"sitting, sessions"
693,معروف,maa'ruuf,"well-known, noted, celebrated"
694,میدان,maidaan,"area, sphere"
695,دیکھنے,dekhne,"look, see, watch"
696,چاہتا,chaahtaa,"like, wish, want, choose"
697,دنوں,dunuu.n,"oblique plural of دِن (din, “day”)"
698,چیف,tchif,Chief
699,جمہوریت,jamhuuriyat,"democracy, government by the people, republic"
700,وضاحت,vazaahat,"(Lexical) clearness, purity"
701,افغان,afGaan,"clamour, wail, lamentation, sorrow, sadness"
702,الزام,ilzaam,"blame, accusation, charge, allegation"
703,بیوی,biivii,"wife, mistress of the house, lady"
704,دس,das,ten
705,نہایت,nihaayat,"end, extremity, term, goal, boundary, butt"
706,طریقہ,tariiqa,"mode, manner, fashion"
707,تلاش,talaash,"search, quest"
708,امت,ummat,"followers: especially of Prophet Muhammad, religion community or society, such as Muslims, Jews, Hindus"
709,کھیل,khel,"an easy affair or task, drama, theater, show, circus, entertainment, pastime, hobby, play, sport, fun, frolic, trick, artifice, water trough for cattle, game"
710,ذہن,zehn,"brain, mind, mental faculty, genius, sagacity, understanding, memory"
711,گرد,gard,"dust, trifle"
712,اعتبار,e'tibaar,"confidence, trust, reliance, belief, faith, reliability, credibility"
713,کمیشن,kmishn,Commission
714,ضلع,zila',"zilla, district, side, part, art of speaking with double meaning, a kind of pun, double entendre, column (in the page of a book)"
715,ذرائع,zarāi',formal plural of ذَرِیعَہ (zariya)
716,کہاں,kahaa.n,Where? at what place?
717,مال,maalzaada,"son of whore, pimp"
718,سمجھا,samjhaa.egii,"will help understand, convince"
719,ذیل,zail,"underneath, below, bottom, lower part (of something)"
720,سلسلہ,silsile,chain
721,خطاب,KHitaab,"conversation, discourse, oration"
722,پیپلز,piplz,People's
723,رمضان,ramazaan,"the ninth of the Arabian months (so called because, when they changed the names of the months from the ancient language, they named them according to the seasons in which they fell, and this month agreed with the days of vehement heat. on the 27th of this"
724,زندہ,zinda,"actual, real"
725,علما,'ulamaa,"wise, ulema, scholars, especially of religion, specialist people in a particular branch of study"
727,طے,tai,an Arab tribe which was famous for its very generous member Hatim
728,تعلقات,ta'alluqaat,"attachments, relations"
729,اخبار,aKHbaar,news
730,بنی,banii,feminine of 'banaa' bride
731,باب,baab,"gate, door"
732,نقصان,nuqsaan,"loss, injury, harm, damage, detriment, defect, deficiency"
733,علاقوں,'ilāqõ,"oblique plural of عِلاقَہ ('ilāqa, “area”)"
734,چہرہ,chehra,"face, countenance"
735,مطالبہ,mutaalba,"asking for, demanding, requiring, demand, requisition, exaction"
736,کائنات,kāināt,the universe
737,البتہ,albatta,"although, but, on the other hand, of course, surely, certainly"
